id,chemical_name,cas_id,cas_number,created_at,updated_at,date_removed
63982,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63983,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
63984,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63985,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63986,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63987,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63988,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63989,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63990,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63991,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
63992,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63993,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
63994,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63995,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
63996,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63997,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
63998,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
63999,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64000,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64001,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64003,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64004,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64002,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64005,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64006,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64007,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64008,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64009,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64010,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64011,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64012,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64013,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64014,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64015,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64016,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64017,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64018,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64019,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64020,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64021,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64022,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64023,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64024,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64025,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64026,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64027,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64028,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64029,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64030,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64031,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64032,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64033,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64034,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64035,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64036,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64037,"Silica, crystalline (airborne particles of respirable size)",776,,2019-09-05,2019-09-05,
64038,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64039,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64040,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64041,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64042,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64043,Titanium dioxide,656,13463-67-7,2019-09-05,2019-09-05,
64044,Titanium dioxide,656,13463-67-7,2019-09-06,2019-09-06,
