id,chemical_name,cas_id,cas_number,created_at,updated_at,date_removed
63576,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63577,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63578,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63579,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63580,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63582,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63585,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63587,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63590,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63581,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63583,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63584,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63586,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63588,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63589,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63591,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63592,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63593,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63594,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63595,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63596,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63597,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63598,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63599,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63600,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63601,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63602,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63603,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63604,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63605,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63606,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63607,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63608,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63609,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63610,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63611,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63612,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63613,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63614,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63615,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63616,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63617,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63618,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63619,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63620,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63621,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63622,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63623,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63624,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63625,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63626,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
63627,Titanium dioxide,656,13463-67-7,2019-08-22,2019-08-22,
